Crawler Dozer,Power,Crawler Dozer (75kW),Diesel,56.5
Crawler Dozer,Power,Crawler Dozer (105kW),Diesel,60.8
Crawler Dozer,Power,Crawler Dozer (135kW),Diesel,66.8
Crawler Hydraulic Excavator,Bucket capacity,Crawler Hydraulic Excavator (0.6m3),Diesel,33.68
Crawler Hydraulic Excavator,Bucket capacity,Crawler Hydraulic Excavator (1m3),Diesel,63
Electric Tamper,Tamping Energy,Electric Tamper (250Nm),Electricity,16.6
Whirling Driller,Diameter,Whirling Driller (800mm),Electricity,142.5
Whirling Driller,Diameter,Whirling Driller (1000mm),Electricity,163.72
Whirling Driller,Diameter,Whirling Driller (1500mm),Electricity,190.72
Fork Lift Hoist,Lifting Mass,Fork Lift Hoist (3t),Petrol,26.46
